Property,"Original Split ([Y, N])",Support,Entropy (normalized),,Property Split,Homogeneity,Outlier,,Property Split,Homogeneity,Outlier,,Property Split,Homogeneity,Outlier,,Property Split,Homogeneity,Outlier
P1,"[19, 31]",0.38,0.958042022226,,"[13, 0, 0, 2, 4]",0.576929626796,0.602196577406,,"[15, 0, 4]",0.596060260449,0.622165047691,,"[15, 4]",0.940333693054,0.981516124803,,"[13, 0, 3, 0, 2, 1, 0, 0]",0.478997687751,0.499975655178
P2,"[47, 3]",0.94,0.327444919154,,"[18, 8, 10, 5, 6]",0.28646014385,0.874834596885,,"[23, 18, 6]",0.315817144151,0.964489371117,,"[41, 6]",0.316229234259,0.965747873184,,"[18, 8, 3, 10, 5, 1, 1, 1]",0.243625954849,0.744021179128
P3,"[38, 12]",0.76,0.795040279385,,"[17, 2, 8, 5, 6]",0.549251708234,0.690847649454,,"[22, 10, 6]",0.660706613019,0.831035395503,,"[32, 6]",0.788346921945,0.991581109017,,"[17, 2, 3, 8, 5, 1, 1, 1]",0.506417519232,0.636970896147
O1,"[17, 33]",0.34,0.924818704973,,"[6, 0, 6, 3, 2]",0.754024686241,0.815321621618,,"[9, 6, 2]",0.920867829309,0.995727945766,,"[15, 2]",0.923238633608,0.99829147988,,"[6, 0, 1, 6, 3, 0, 1, 0]",0.688285556685,0.744238360431
O2,"[3, 47]",0.06,0.327444919154,,"[0, 0, 0, 3, 0]",0.0970950594455,0.296523334966,,"[3, 0, 0]",0.260910932736,0.796808615658,,"[3, 0]",0.313947463091,0.958779460989,,"[0, 0, 0, 0, 3, 0, 0, 0]",0.0970950594455,0.296523334966
O3,"[4, 46]",0.08,0.402179190202,,"[2, 0, 0, 2, 0]",0.281570148529,0.700111182747,,"[4, 0, 0]",0.312010762391,0.775800364594,,"[4, 0]",0.383973958331,0.954733530937,,"[2, 0, 0, 0, 2, 0, 0, 0]",0.281570148529,0.700111182747
O4,"[11, 39]",0.22,0.760167502962,,"[4, 0, 1, 3, 3]",0.610971393634,0.803732586902,,"[7, 1, 3]",0.668986338867,0.880051220633,,"[8, 3]",0.734021516227,0.965604966494,,"[4, 0, 2, 1, 3, 1, 0, 0]",0.568137204633,0.747384231
O5,"[12, 38]",0.24,0.795040279385,,"[1, 6, 5, 0, 0]",0.478332704719,0.601645875212,,"[1, 11, 0]",0.493080999568,0.620196249616,,"[12, 0]",0.734594976431,0.923972024411,,"[1, 6, 0, 5, 0, 0, 0, 0]",0.478332704719,0.601645875212
US,"[46, 4]",0.92,0.402179190202,,"[19, 8, 10, 5, 4]",0.228518439304,0.568200555552,,"[24, 18, 4]",0.250971393634,0.62402879052,,"[42, 4]",0.274972992954,0.683707659802,,"[19, 8, 2, 10, 5, 0, 1, 1]",0.145684250303,0.362237166547
P1 and P2,"[19, 31]",0.38,0.958042022226,,"[13, 0, 0, 2, 4]",0.576929626796,0.602196577406,,"[15, 0, 4]",0.596060260449,0.622165047691,,"[15, 4]",0.940333693054,0.981516124803,,"[13, 0, 3, 0, 2, 1, 0, 0]",0.478997687751,0.499975655178
P1 or P2,"[47, 3]",0.94,0.327444919154,,"[18, 8, 10, 5, 6]",0.28646014385,0.874834596885,,"[23, 18, 6]",0.315817144151,0.964489371117,,"[41, 6]",0.316229234259,0.965747873184,,"[18, 8, 3, 10, 5, 1, 1, 1]",0.243625954849,0.744021179128
P1 and P3,"[19, 31]",0.38,0.958042022226,,"[13, 0, 0, 2, 4]",0.576929626796,0.602196577406,,"[15, 0, 4]",0.596060260449,0.622165047691,,"[15, 4]",0.940333693054,0.981516124803,,"[13, 0, 3, 0, 2, 1, 0, 0]",0.478997687751,0.499975655178
P1 or P3,"[38, 12]",0.76,0.795040279385,,"[17, 2, 8, 5, 6]",0.549251708234,0.690847649454,,"[22, 10, 6]",0.660706613019,0.831035395503,,"[32, 6]",0.788346921945,0.991581109017,,"[17, 2, 3, 8, 5, 1, 1, 1]",0.506417519232,0.636970896147
P1 and O1,"[7, 43]",0.14,0.584238811643,,"[4, 0, 0, 2, 1]",0.462074524873,0.790900083433,,"[6, 0, 1]",0.472247688742,0.808312764114,,"[6, 1]",0.584230887393,0.999986436626,,"[4, 0, 1, 0, 2, 0, 0, 0]",0.434338085915,0.743425594567
P1 or O1,"[29, 21]",0.58,0.981453895034,,"[15, 0, 6, 3, 5]",0.694267334362,0.707386600507,,"[18, 6, 5]",0.852153007645,0.868255770299,,"[24, 5]",0.972430113188,0.990805699696,,"[15, 0, 3, 6, 3, 1, 1, 0]",0.613430454762,0.625022181751
P1 and O2,"[2, 48]",0.04,0.242292189082,,"[0, 0, 0, 2, 0]",0.0970950594455,0.400735408818,,"[2, 0, 0]",0.198632088146,0.819803927225,,"[2, 0]",0.233395045257,0.963279279208,,"[0, 0, 0, 0, 2, 0, 0, 0]",0.0970950594455,0.400735408818
P1 or O2,"[20, 30]",0.4,0.970950594455,,"[13, 0, 0, 3, 4]",0.576929626796,0.594190507829,,"[16, 0, 4]",0.578713939391,0.596028204418,,"[16, 4]",0.95688037692,0.98550882237,,"[13, 0, 3, 0, 3, 1, 0, 0]",0.478997687751,0.49332859003
P1 and O3,"[4, 46]",0.08,0.402179190202,,"[2, 0, 0, 2, 0]",0.281570148529,0.700111182747,,"[4, 0, 0]",0.312010762391,0.775800364594,,"[4, 0]",0.383973958331,0.954733530937,,"[2, 0, 0, 0, 2, 0, 0, 0]",0.281570148529,0.700111182747
P1 or O3,"[19, 31]",0.38,0.958042022226,,"[13, 0, 0, 2, 4]",0.576929626796,0.602196577406,,"[15, 0, 4]",0.596060260449,0.622165047691,,"[15, 4]",0.940333693054,0.981516124803,,"[13, 0, 3, 0, 2, 1, 0, 0]",0.478997687751,0.499975655178
P1 and O4,"[8, 42]",0.16,0.634309554641,,"[3, 0, 0, 2, 3]",0.474141703556,0.747492608438,,"[5, 0, 3]",0.492308674794,0.776133153272,,"[5, 3]",0.583901908383,0.920531472545,,"[3, 0, 2, 0, 2, 1, 0, 0]",0.431307514554,0.679963767531
P1 or O4,"[22, 28]",0.44,0.989587521222,,"[14, 0, 1, 3, 4]",0.644786384652,0.651570852324,,"[17, 1, 4]",0.668986338867,0.676025439408,,"[18, 4]",0.981418532682,0.991745057042,,"[14, 0, 3, 1, 3, 1, 0, 0]",0.546854445607,0.552608469569
P1 and O5,"[0, 50]",0.0,0.0,,"[0, 0, 0, 0, 0]",0.0,nan,,"[0, 0, 0]",0.0,nan,,"[0, 0]",0.0,nan,,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,nan
P1 or O5,"[31, 19]",0.62,0.958042022226,,"[14, 6, 5, 2, 4]",0.916280516064,0.956409525685,,"[16, 11, 4]",0.951851438399,0.993538296146,,"[27, 4]",0.95688037692,0.998787479798,,"[14, 6, 3, 5, 2, 1, 0, 0]",0.818348577019,0.854188603457
P1 and US,"[17, 33]",0.34,0.924818704973,,"[13, 0, 0, 2, 2]",0.55983456735,0.605345203703,,"[15, 0, 2]",0.578965201003,0.626031024124,,"[15, 2]",0.923238633608,0.99829147988,,"[13, 0, 2, 0, 2, 0, 0, 0]",0.494095437794,0.534261942516
